Year,Male_Pronoun_Count,Female_Pronoun_Count
1803,4259,53
1804,11138,139
1805,22119,502
1806,16623,202
1807,12352,545
1808,9732,353
1809,36381,5090
1810,7180,153
1811,39301,864
1812,37860,1890
1813,8913,388
1814,9015,281
1815,20441,890
1816,0,0
1817,21476,300
1818,15303,211
1819,50871,888
1820,41458,11795
1821,26310,2704
1822,47976,2278
1823,40928,2197
1824,33349,1274
1825,16843,350
1826,26702,410
1827,14041,152
1828,33959,576
1829,0,0
1830,67410,1873
1831,76013,1143
1832,76136,1632
1833,93863,1323
1834,87301,1850
1835,62561,636
1836,70485,2336
1837,50432,2592
1838,45722,1832
1839,68283,2795
1840,76141,3009
1841,58186,2523
1842,62144,2031
1843,67950,3372
1844,24502,1144
1845,64598,2677
1846,81123,3096
1847,75555,4649
1848,63045,3914
1849,48373,2941
1850,56689,2742
1851,38940,1840
1852,61157,2828
1853,52349,2390
1854,61598,3276
1855,66258,3332
1856,55055,3215
1857,51098,4463
1858,61463,3388
1859,25583,2233
1860,42417,1627
1861,64998,3719
1862,47954,2860
1863,58061,4614
1864,43234,3680
1865,59762,3519
1866,44263,2022
1867,63804,3623
1868,56300,3685
1869,52827,2374
1870,82906,4005
1871,52187,2761
1872,63720,3342
1873,63450,4806
1874,36226,2077
1875,58087,2542
1876,53294,3631
1877,66192,4737
1878,55925,5493
1879,35008,1525
1880,51169,2463
1881,38156,1460
1882,34162,1376
1883,49739,1666
1884,30601,2323
1885,39349,1695
1886,39764,2909
1887,42896,2287
1888,55686,2063
1889,33074,2409
1890,23796,2649
1891,8777,685
1892,18637,1710
1893,19552,879
1894,59776,2326
1895,60052,2838
1896,61498,1775
1897,41145,2510
1898,15021,1653
1899,14074,987
1900,21786,1623
1901,24055,1417
1902,67980,1101
1903,15743,660
1904,40536,470
1905,16247,194
1906,38872,460
1907,36676,661
1908,34880,649
1909,12698,474
1910,20168,1074
1911,26475,1603
1912,21102,992
1913,41582,2316
1914,11693,390
1915,18820,1062
1916,12831,381
1917,14959,332
1918,33357,2686
1919,49535,1581
1920,19628,769
1921,8459,436
1922,20341,1499
1923,8656,834
1924,24575,1838
1925,15158,762
1926,27477,761
1927,30035,1027
1928,16814,391
1929,13468,1029
1930,30150,3373
1931,19869,1206
1932,24652,712
1933,19309,2300
1934,21116,550
1935,22763,1343
1936,35068,1268
1937,34436,1690
1938,27806,1436
1939,21195,1031
1940,20600,1132
1941,16488,809
1942,19483,769
1943,29690,1969
1944,33162,1549
1945,26352,1422
1946,36095,1867
1947,64319,2768
1948,51141,2027
1949,38892,3484
1950,36815,1790
1951,26290,1712
1952,51426,3891
1953,35038,4159
1954,35595,3318
1955,37733,2706
1956,50752,4915
1957,39993,4223
1958,36197,3677
1959,32586,2997
1960,45145,3889
1961,38845,3122
1962,52321,4401
1963,45130,4080
1964,41188,4177
1965,47495,4948
1966,53665,8585
1967,57254,8214
1968,52601,5935
1969,62061,7741
1970,42145,4157
1971,62408,7594
1972,73477,6201
1973,49263,5017
1974,33351,6330
1975,52674,7648
1976,75284,7758
1977,88973,7770
1978,82742,9124
1979,59929,7231
1980,75069,10304
1981,58937,11345
1982,68302,14102
1983,62767,11466
1984,57627,14890
1985,77823,9742
1986,66516,8499
1987,80301,8021
1988,70623,9802
1989,74178,9406
1990,79364,9129
1991,56014,5543
1992,70569,10919
1993,52547,9658
1994,55330,10718
1995,71705,15111
1996,52746,10299
1997,45274,9948
1998,56495,14195
1999,49268,10860
2000,66224,13477
2001,36183,11053
2002,41544,14066
2003,39970,12537
2004,31487,11253
2005,1741,1891
2006,4,4
